SKU	Picture	Color	Detail	DDP Price(USD ）	DDP Price(CAD)	Cost	 Sale Price	 Website link for photos and config and description	 Comments 	Size(CM)	package  size(CM)	CBM	weight(kg)		Stock available		
AF-DC1N		chair	Bouclé (lamb  fleece) fabric;  rubber  wood frame  in walnut  finish	$65	$90	$90	  257 	 https://atunusfurniture.com/product/fleece-upholsteted-ash-woord-dining-chait/		54*52*85	77*70*49				7		
AF-TS002		tv stand		$463	$644	$644	  1,840 	 https://atunusfurniture.com/product/mid-century-slatted-wood-tv-stand/		180*40*54	187*74*51	1.54	51.8		10		
AF-BS01		beige						 https://atunusfurniture.com/product/modern-luxury-solid-wood-bar-stool/			72*57*110	0.451	9.3		10		
AF-DC007		dinning  chairs		$142	$197	$197	  563 	 https://atunusfurniture.com/product/modern-light-luxury-teddy-fabric-dining-chair/		59*59*76.5	72*52*92	0.34	20		"black: 8
wood: 5"		
AF-DT009		dinning  table		180CM:$312	180CM:$434	434	  1,240 	 https://atunusfurniture.com/product/black-ellipsoid-solid-plywood-dining-table-with-ash-wood-finish/		180*90*75	"top: 185*95*7.6 leg: 78*63*15
Beam: 104.5*10.5*7.5"	0.22	"top: 29
leg: 20.3
Beam: 2.6"		"black180:  8
wood180:  8"		
				140CM:$264	140CM:$367	367	  1,049 			140*80*75	"top: 155*85*7.6 leg: 78*63*15
Beam: 104.5*10.5*7.5"	0.17	"top: 20.4
leg: 20.3
Beam: 2.6"		"black140:  4
wood140:  5"		
AF-DC008		dinning  chairs		$173	$240	$240	  686 	 https://atunusfurniture.com/product/rotatable-upholstered-dining-chair-beige-modern-accent-chair-with-flared-pedestal-base/		56*60*78	61*65*83	0.329	28.3		14		
AF-DT002		dinning  table	Marble	$618	$859	$859	  2,454 	 https://atunusfurniture.com/product/modern-sintered-marble-dining-table-u-shape-stainless-steel-base-for-dining-room/		230*100*75	table top: 235*108*9 upper frame: 234*104*11 middle column:  70*60*35 base: 135*69*11	3.32	211.9		3		
AF-DT015		dinning  table		345	$480	$480	  1,371 	 https://atunusfurniture.com/product/modern-minimalist-dining-table-with-tapered-walnut-base/		180*90*75	table  top:185*95*9 base:69*67*78	0.46	top: 30.55 base:24.25		180CM:  5		
										220*100*75	table top:225*105*9 base: 79*58*82	0.59	top: 34.76 base:27.8				
AF-SF013		white	"Linen fabric  + PU foam + down  feather
+ polyester  fiberfill  + solid pine wood + plywood"	Right Armrest:  $356 Left Armrest:  $356	Right Armrest:  $495 Left Armrest:  $495	990	  2,829 	 https://atunusfurniture.com/product/modern-modular-sectional-sofa-beige-fabric-freely-assemblable-for-living-room-leisure-area/		100*260*68	100*100*67	2.07	36.45		6		
AF-SF008		beige	"Bouclé (lamb  fleece)
fabric  + PU foam + solid pine wood + plywood  + electroplated  stainless"	$1,221	$1,697	$1,697	  4,849 	 https://atunusfurniture.com/product/contemporary-curved-couch-in-sherpa-cover/		297*150*76	"132*107*80
220*110*83"	3.22	116.5				
AF-SF018		3 seater white	"Chenille  fabric + PU foam + down  feather
+ polyester  fiberfill  + solid pine wood +
plywood"	$700	$973	$973	  2,780 	 https://atunusfurniture.com/product/minimalist-modern-sherpa-sectional-loveseat/		246*90*84.5	250*100*62	1.55	75.5				
AF-SF021		white	Velvet  fabric  + PU foam + solid pine wood	$882	$1,226	$1,226	  3,503 	 https://atunusfurniture.com/product/l-shaped-sectional-sofa-beige-cloud-sofa-fixed-chaise-lounge-oversized-deep-seat-couch/		305*180*78	"101*85*50
101*85*50
182*113*48"	1.85	"42
38.5
68.75"				
